Copilot AI Usage Report - 2026-06

OVERALL METRICS
Total Allocated Credits,"61,000.00"
Total Included AI Credits Used,"42,405.47"
Total Additional AI Credits Used,0.00
Total AI Credits Used (included + additional),"42,405.47"
Total Copilot Licensed Users,19
Total Unique Users,14

COST CENTER WISE AI CREDIT USAGE
Cost Center,Included AI Credits,Additional AI Credits,Unique Users,% of Total Credits
(Not Assigned),"26,738.94",0.00,12,63.06%
PowerUsers-$20,"14,575.89",0.00,3,34.37%
copilot-premium-request,"1,051.68",0.00,1,2.48%
Test,38.95,0.00,1,0.09%
TOTAL,"42,405.47",0.00,14,100.00%

MODEL WISE AI CREDIT USAGE
Model Name,Included AI Credits,Additional AI Credits,% of Total Credits
Claude Sonnet 4.6,"13,345.98",0.00,31.47%
Auto: GPT-5.3-Codex,"8,566.09",0.00,20.20%
Claude Opus 4.6,"5,685.16",0.00,13.41%
Claude Haiku 4.5,"4,818.01",0.00,11.36%
Coding Agent model,"4,593.50",0.00,10.83%
Auto: Claude Sonnet 4.6,"4,297.38",0.00,10.13%
Auto: Claude Haiku 4.5,404.15,0.00,0.95%
Claude Opus 4.5,207.43,0.00,0.49%
Claude Sonnet 4.5,204.50,0.00,0.48%
GPT-5.3-Codex,111.35,0.00,0.26%
Code Review model,83.26,0.00,0.20%
Gemini 2.5 Pro,42.75,0.00,0.10%
Auto: GPT-5.4 mini,30.43,0.00,0.07%
GPT-5 mini,15.48,0.00,0.04%
TOTAL,"42,405.47",0.00,100.00%
